id,name,kcal,fat,sat_FAT,trans_FAT,cholesterol,sodium,sugars,chabo,protein,pro_id
121,유기농 아이스크림 초콜릿,226,12,8,0.4,40,42,22,26,4,9300000000810
122,자바 칩 유기농 아이스크림 바닐라,255,16,8,0,16,58,22,24,4,9900000000034
123,자바 칩 유기농 아이스크림 초콜릿,278,15,8,0.4,40,49,27,32,5,9900000000171
124,넛츠 바닐라 아포가토,310,13,8,0,16,51,17,19,6,9900000000033
125,넛츠 초콜릿 아포가토,333,12,8,0.4,40,42,22,27,7,9900000000170
126,바닐라 아포가토,208,13,8,0,16,51,17,19,3,9900000000031
127,자바 칩 바닐라 아포가토,260,16,8,0,16,58,22,25,4,9900000000032
128,자바 칩 초콜릿 아포가토,283,15,8,0.4,40,49,27,33,5,9900000000169
129,초콜릿 아포가토,231,12,8,0.4,40,42,22,27,4,9900000000168
130,봄 딸기 초콜릿 스윗박스,480,34,15,0.5,220,220,37,38,6,9300000003953
131,봄 딸기 우유 크루아상,485,36,9,0.5,60,330,31,34,6,9300000003922
132,봄 딸기 카스텔라 샌드,495,29,15,0.6,270,220,49,50,8,9300000003921
133,스마일 쿠키 초콜릿,736,48,29,0.7,166,179,41,68,8,9300000002182
134,스마일 쿠키 라즈베리,661,41,28,0.8,160,177,41,66,7,9300000002183
135,피칸 브라우니,465,28,16,0.5,120,115,48,49,4,9300000002173
136,크레이프 에멘탈 치즈 케이크,330,26,19,0.6,126,254,18,18,5,9300000002064
137,세븐 레이어 가나슈 케이크,433,29,16,0.3,76,112,27,37,6,9300000002065
138,청담스타 얼 그레이 밀크 케이크,310,25,13,0.4,110,60,20,17,4,9300000001521
139,청담스타 오 허니 케이크,348,24,14,0.4,227,67,28,28,5,9300000000882
140,헤븐리 티라미수,305,12,11,0.3,82,135,27,30,3,9300000000878
141,블루베리 쿠키 치즈 케이크,390,29,7,0.5,120,310,27,28,4,9300000000913
142,B.L.T. 샌드위치,325,12,6,0.5,35,999,12,43,11,9300000003877
143,콥 & 화이트 샐러드 밀 박스,198,10,2.3,0.2,180,540,4,12,15,9300000003832
144,올라 쿠바노 샌드위치,370,15,11,0.5,65,990,5,41,18,9300000003680
145,리코타 치즈 바게트 샌드위치,385,19,14,0.6,45,900,12,40,14,9300000003407
146,트리플 치즈 크로크무슈,475,23,13,0.5,50,995,4,41,26,9300000003524
147,플랜트 햄&루꼴라 샌드위치,321,9,1.3,0.1,0,981,8,50,10,9300000003526
148,플랜트 함박&파스타 밀 박스,380,15,4.4,0,55,620,5,46,16,9300000003528
149,커리 치킨 샐러드 밀 박스,182,10,1.6,0,55,610,3,11,12,9300000003261
150,에그 베이컨 브리오슈 밀 박스,485,25,7,0.5,200,820,7,38,26,9300000003229
151,B.C.L.T. 샌드위치 밀 박스,355,12,4.5,0,45,600,5,42,19,9300000003397
152,브렉퍼스트 잉글리쉬 머핀,355,19,7,0.5,50,810,2,29,17,9300000002435
153,에그에그 샌드위치,370,22,8,0.4,530,800,9,28,15,9300000001927
154,베이컨 치즈 토스트,404,28,8,0.2,87,551,7,24,14,9300000002178
155,햄&루꼴라 올리브 샌드위치,388,16,5,0.2,27,658,3,42,19,9300000001777
156,바비큐 치킨 치즈 치아바타,320,8,3.8,0,38,859,5,42,20,5110003062
157,B.E.L.T. 샌드위치,450,25,7,0,52,924,7,51,19,9300000000689
158,단호박 에그 샌드위치,334,14,4.3,0.1,45,698,7,41,11,9300000000036
159,크랜베리 치킨 치즈 샌드위치,416,20,4.5,0.1,34,774,11,40,19,9300000001117
